names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,57,2024-06-28T15:31:39+09:00,0.1,53.1,9.2,25.2,1016.3,29.0,57.0,1.6,21.1,3.1
"Castellana, Madrid, Spain",Madrid,57,2024-06-28T15:55:59+09:00,,49.2,9.2,,1016.3,29.0,57.0,,21.3,2.0
"Mendez Alvaro, Madrid, Spain",Madrid,38,2024-06-28T15:55:56+09:00,,52.7,7.8,,1014.8,18.0,38.0,,20.7,3.4
"Casa De Campo, Madrid, Spain",Madrid,34,2024-06-28T16:13:45+09:00,,48.0,6.0,33.3,1016.3,18.0,34.0,,21.6,1.0
"Cuatro Caminos, Madrid, Spain",Madrid,30,2024-06-28T15:52:59+09:00,,49.2,9.2,,1016.3,19.0,30.0,,21.3,2.0
"Escuelas Aguirre, Madrid, Spain",Madrid,25,2024-06-28T16:13:49+09:00,0.1,48.0,13.8,25.2,1016.3,17.0,17.0,1.6,21.6,1.0
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-28T15:27:52+09:00,0.1,52.0,19.7,,1015.0,18.0,25.0,,21.0,1.5
"Sanchinarro, Madrid, Spain",Madrid,21,2024-06-28T15:55:59+09:00,,50.0,12.8,,1013.8,15.0,21.0,,21.9,0.5
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-28T15:55:55+09:00,,52.0,17.4,,1015.0,16.0,21.0,,21.0,1.8
"Plaza De Castilla, Madrid, Spain",Madrid,17,2024-06-28T15:55:58+09:00,,49.2,8.7,,1016.3,13.0,17.0,,21.3,2.0
"Media  Red, Madrid, Spain",Madrid,-,2021-12-18T06:32:00+09:00,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,63,2024-06-28T15:55:58+09:00,,60.4,1.0,35.8,1017.1,47.0,63.0,1.1,19.2,0.3
"algete, Madrid, Spain",Madrid,59,2024-06-28T15:52:54+09:00,,57.4,4.2,30.1,1012.9,,59.0,,20.0,0.4
"alcorcón, Madrid, Spain",Madrid,59,2024-06-28T15:53:16+09:00,,52.0,4.6,33.8,1015.0,,59.0,,21.0,1.8
"valdemoro, Madrid, Spain",Madrid,32,2024-06-28T15:52:54+09:00,,54.0,6.4,32.1,1015.0,,30.0,,20.5,2.0
"torrejon de ardoz, Madrid, Spain",Madrid,50,2024-06-28T15:55:55+09:00,,52.0,9.6,20.4,1015.0,30.0,50.0,,19.0,2.8
"villa del prado, Madrid, Spain",Madrid,46,2024-06-28T15:55:59+09:00,,52.0,2.8,24.4,1015.0,23.0,46.0,1.1,21.0,1.8
