names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind
Madrid,Madrid,31,2024-06-30 23:13:46,0.1,44.3,7.8,30.5,1017.0,6.0,21.0,1.6,22.9,2.5
"Escuelas Aguirre, Madrid, Spain",Madrid,57,2024-06-30 23:13:46,0.1,44.3,4.6,30.5,1017.0,31.0,57.0,1.6,22.5,1.6
"Casa De Campo, Madrid, Spain",Madrid,36,2024-06-30 23:13:46,,44.3,2.3,36.2,1017.0,10.0,30.0,,22.5,1.6
"Mendez Alvaro, Madrid, Spain",Madrid,34,2024-06-30 23:13:46,,44.0,2.8,,1015.7,12.0,34.0,,22.9,2.5
"Plaza Elíptica, Madrid, Spain",Madrid,25,2024-06-30 23:13:46,0.1,49.0,17.4,,1016.0,15.0,25.0,,20.0,2.5
"Castellana, Madrid, Spain",Madrid,21,2024-06-30 23:13:46,,44.3,7.8,,1017.0,6.0,21.0,,22.5,1.6
"Cuatro Caminos, Madrid, Spain",Madrid,21,2024-06-30 23:13:46,,44.3,6.4,,1017.0,10.0,21.0,,22.5,1.6
"Sanchinarro, Madrid, Spain",Madrid,21,2024-06-30 23:13:46,,46.6,6.9,,1014.4,8.0,21.0,,22.4,1.3
"Fernandez Ladreda, Madrid, Spain",Madrid,21,2024-06-30 23:13:46,,49.0,9.2,,1016.0,11.0,21.0,,20.0,2.5
"Plaza De Castilla, Madrid, Spain",Madrid,6,2024-06-30 23:13:46,,44.3,10.1,,1017.0,6.0,5.0,,22.5,1.6
"Media  Red, Madrid, Spain",Madrid,-,2024-06-30 23:13:46,,88.0,,,1025.9,,,,7.7,1.7
"el atazar, Madrid, Spain",Madrid,39,2024-06-30 23:13:46,,63.0,1.4,39.0,1017.9,9.0,34.0,1.1,18.3,1.4
"algete, Madrid, Spain",Madrid,37,2024-06-30 23:13:46,,53.8,3.2,36.6,1014.7,,34.0,,21.1,0.1
"alcorcón, Madrid, Spain",Madrid,35,2024-06-30 23:13:46,,49.0,2.3,35.0,1016.0,,30.0,,20.0,2.5
"valdemoro, Madrid, Spain",Madrid,35,2024-06-30 23:13:46,,43.0,1.9,34.6,1015.0,,21.0,,22.0,2.0
"torrejon de ardoz, Madrid, Spain",Madrid,35,2024-06-30 23:13:46,,42.0,2.8,34.6,1015.0,10.0,25.0,,24.0,2.5
"villa del prado, Madrid, Spain",Madrid,35,2024-06-30 23:13:46,,49.0,0.5,35.4,1016.0,8.0,17.0,1.1,20.0,2.5
"collado villalba, Madrid, Spain",Madrid,25,2024-06-30 23:13:46,,71.0,7.4,25.2,1015.4,,9.0,0.6,18.8,0.2
"villarejo de salvanes, Madrid, Spain",Madrid,33,2024-06-30 23:13:46,,47.7,2.3,32.9,1018.0,,13.0,,23.1,1.2
"Mercado Central, Canarias, Spain",Canarias,38,2024-06-30 23:13:46,0.1,69.9,4.2,28.9,1012.4,19.0,38.0,0.6,21.2,11.8
"Lezcano, Canarias, Spain",Canarias,33,2024-06-30 23:13:46,0.1,69.9,2.8,33.3,1012.4,16.0,21.0,2.1,21.2,11.8
"Jinamar fase 3, Canarias, Spain",Canarias,32,2024-06-30 23:13:46,0.1,69.9,2.8,31.7,1012.4,16.0,9.0,2.1,21.2,11.8
"San Nicolas, Canarias, Spain",Canarias,31,2024-06-30 23:13:46,0.1,69.9,1.0,30.9,1012.4,11.0,25.0,0.6,21.2,11.8
"Nestor Alamo, Canarias, Spain",Canarias,31,2024-06-30 23:13:46,0.1,69.9,3.2,31.3,1012.4,20.0,30.0,0.6,21.2,11.8
"La Loma-Telde, Canarias, Spain",Canarias,31,2024-06-30 23:13:46,0.1,69.9,2.8,31.3,1012.4,20.0,13.0,3.1,21.2,11.8
"Barcelona, Catalunya, Spain",Catalunya,32,2024-06-30 23:13:46,0.1,85.0,2.8,32.1,1016.6,14.0,25.0,0.6,20.5,0.7
"Barcelona (Parc Vall d'Hebrón), Catalunya, Spain",Catalunya,31,2024-06-30 23:13:46,0.1,85.3,6.4,31.3,1016.7,14.0,25.0,0.6,20.5,0.7
"Montcada i Reixac (Can Sant Joan), Catalunya, Spain",Catalunya,31,2024-06-30 23:13:46,0.1,80.0,3.2,30.9,1015.0,10.0,,0.6,23.3,4.2
"Barcelona (Eixample), Catalunya, Spain",Catalunya,30,2024-06-30 23:13:46,0.1,83.3,7.8,28.9,1013.9,14.0,30.0,0.6,22.7,
