names,comunity,scores,dates,co,humidity,no2,o3,p,pm10,pm25,so2,temp,wind,fecha_convertida,Dia,Hora,periodo,calidad_aire
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,55,2024-06-26 05:29:00+09:00,0.1,85.0,8.3,,1011.5,17.0,55.0,0.6,18.5,2.5,2024-06-25 22:29:00+09:00,2024-06-25,22,noche,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,53,2024-06-26 15:42:37+09:00,0.1,100.0,7.4,,1012.0,20.0,53.0,0.6,17.5,1.0,2024-06-26 08:42:37+09:00,2024-06-26,8,mañana,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,53,2024-06-26 18:45:19+09:00,0.1,77.5,12.4,,1012.0,26.0,53.0,0.6,22.0,0.7,2024-06-26 11:45:19+09:00,2024-06-26,11,mañana,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,42,2024-06-26 23:40:50+09:00,0.1,42.0,3.7,,1010.5,13.0,42.0,0.6,30.0,2.5,2024-06-26 16:40:50+09:00,2024-06-26,16,tarde,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,53,2024-06-27 04:32:54+09:00,0.1,88.0,5.1,,1013.0,15.0,53.0,0.6,20.0,2.5,2024-06-26 21:32:54+09:00,2024-06-26,21,noche,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,59,2024-06-27 15:44:00+09:00,0.1,100.0,3.7,,1015.0,19.0,59.0,0.6,19.0,0.7,2024-06-27 08:44:00+09:00,2024-06-27,8,mañana,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,46,2024-06-27 20:42:44+09:00,0.1,75.5,5.5,,1015.0,19.0,46.0,0.6,24.0,4.3,2024-06-27 13:42:44+09:00,2024-06-27,13,mediodia,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,63,2024-06-27 23:47:10+09:00,0.1,80.5,4.6,,1015.0,19.0,63.0,0.6,22.5,4.8,2024-06-27 16:47:10+09:00,2024-06-27,16,tarde,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,53,2024-06-28 04:41:09+09:00,0.1,88.0,5.1,,1017.0,10.0,53.0,0.6,18.5,4.6,2024-06-27 21:41:09+09:00,2024-06-27,21,noche,Moderada
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,21,2024-06-28 15:57:47+09:00,0.1,90.5,4.2,,1018.0,6.0,21.0,0.6,17.0,3.6,2024-06-28 08:57:47+09:00,2024-06-28,8,mañana,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,17,2024-06-28 16:47:10+09:00,0.1,93.0,3.2,,1014.0,8.0,17.0,0.6,15.0,1.5,2024-06-28 09:47:10+09:00,2024-06-28,9,mañana,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,9,2024-06-28 18:45:10+09:00,0.1,79.5,5.1,,1018.0,4.0,9.0,0.6,19.5,4.8,2024-06-28 11:45:10+09:00,2024-06-28,11,mañana,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,46,2024-06-29 05:46:11+09:00,0.1,88.0,4.6,,1016.0,10.0,46.0,0.6,17.5,4.1,2024-06-28 22:46:11+09:00,2024-06-28,22,noche,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,17,2024-06-29 13:00:45,0.1,90.0,4.2,,1015.0,8.0,17.0,0.6,15.0,2.3,2024-06-29 06:00:45,2024-06-29,6,mañana,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,17,2024-06-29 16:47:10+09:00,0.1,93.0,3.2,,1014.0,8.0,17.0,0.6,15.0,1.5,2024-06-29 09:47:10+09:00,2024-06-29,9,mañana,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,13,2024-06-29 19:05:30,0.1,84.5,4.2,,1015.0,8.0,13.0,0.6,16.0,2.3,2024-06-29 12:05:30,2024-06-29,12,mediodia,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,46,2024-06-29 23:48:36,0.1,97.6,5.1,,1016.3,14.0,46.0,0.6,13.3,2.7,2024-06-29 16:48:36,2024-06-29,16,tarde,Buena
"3 De Marzo, Vitoria-Gasteiz, País Vasco, Spain",Pais_Vasco,9,2024-06-30 09:04:17,0.1,93.0,2.3,,1017.0,2.0,9.0,0.6,14.0,1.2,2024-06-30 02:04:17,2024-06-30,2,otro,Buena
